Trace monitoring started at 2025-04-24T22:04:03.339Z
[2025-04-25T00:15:51.202Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:16:04.004Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:16:51.210Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:17:04.007Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:17:51.211Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:18:04.013Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:18:51.226Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:19:04.016Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:19:51.231Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:20:04.014Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:20:51.249Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:21:04.016Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:21:51.227Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:22:04.031Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:22:51.235Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:23:04.032Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:23:51.234Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:24:04.068Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:24:51.247Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:25:04.048Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:25:51.237Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:26:04.055Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:26:51.246Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:27:04.050Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:27:51.242Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:28:04.051Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:28:51.241Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:29:04.059Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:29:51.260Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:30:04.057Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:30:51.244Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:31:04.068Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:31:51.256Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:32:04.081Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:32:51.254Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:33:04.058Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:33:51.258Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:34:04.066Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:34:51.258Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:35:04.071Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:35:51.263Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:36:04.065Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:36:51.264Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:37:04.078Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:37:51.293Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:38:04.082Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:38:51.272Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:39:04.078Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:39:51.281Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:40:04.083Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:40:51.266Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:41:04.070Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:41:51.269Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:42:04.069Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:42:51.267Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:43:04.070Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:43:51.267Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:44:04.075Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:44:51.276Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:45:04.076Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:45:51.268Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:46:04.076Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:46:51.273Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:47:04.075Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:47:51.287Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:48:04.083Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:48:51.285Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:49:04.088Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:49:51.300Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:50:04.094Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:50:51.310Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:51:04.082Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:51:51.283Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:52:04.084Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:52:51.320Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:53:04.084Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:53:51.294Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:54:04.104Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:54:51.307Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:55:04.095Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:55:51.301Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:56:04.092Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:56:51.302Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:57:04.093Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:57:51.335Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:58:04.104Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:58:51.324Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:59:04.124Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:59:51.316Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:00:04.101Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:00:51.327Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:01:04.113Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:01:51.329Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:02:04.120Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:02:51.334Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:03:04.115Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:03:51.401Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:04:04.120Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:04:51.340Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:05:04.124Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:05:51.334Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:06:04.127Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:06:51.350Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:07:04.132Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:07:51.357Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:08:04.195Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:08:51.340Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:09:04.133Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:09:51.346Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:10:04.136Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:10:51.354Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:11:04.138Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:11:51.354Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:12:04.135Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:12:51.377Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:13:04.171Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:13:51.389Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:14:04.179Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:14:51.404Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:15:04.175Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:15:51.397Z] Swaps captured: -1, Highest block: 0
[2025-04-25T01:16:04.186Z] Swaps captured: -1, Highest block: 0
